,Date,CPI,Unemployment_Rate,G10Yield,G5Yield,G3Yield,EURUSD,GBPUSD,USDCHF,USDJPY,SP500_Close
199,2016-08-01,240.54,4.9,1.56,1.13,0.85,1.1176,1.3209,0.9671,102.26,2168.27
200,2016-09-01,241.18,5.0,1.63,1.18,0.9,1.1194,1.3273,0.9792,103.22,2126.15
201,2016-10-01,241.74,4.9,1.76,1.27,0.99,1.121,1.284,0.974,101.54,2198.81
202,2016-11-01,242.03,4.7,2.14,1.6,1.22,1.1042,1.2218,0.979,104.59,2238.83
203,2016-12-01,242.64,4.7,2.49,1.96,1.49,1.0634,1.2596,1.0126,114.34,2278.87
204,2017-01-01,243.62,4.7,2.43,1.92,1.48,1.0416,1.2256,1.0266,117.68,2363.64
205,2017-02-01,244.01,4.6,2.42,1.9,1.47,1.0758,1.2643,0.993,113.29,2362.72
206,2017-03-01,243.89,4.4,2.48,2.01,1.59,1.0564,1.2318,1.0072,113.66,2384.2
207,2017-04-01,244.19,4.4,2.3,1.82,1.44,1.0655,1.2479,1.0029,110.96,2411.8
208,2017-05-01,244.0,4.4,2.3,1.84,1.48,1.0912,1.2917,0.9955,111.78,2423.41
209,2017-06-01,244.16,4.3,2.19,1.77,1.49,1.1214,1.2894,0.9712,111.24,2470.3
210,2017-07-01,244.24,4.3,2.32,1.87,1.54,1.1367,1.2951,0.9632,113.32,2471.65
211,2017-08-01,245.18,4.4,2.21,1.78,1.48,1.1799,1.3206,0.9655,110.33,2519.36
212,2017-09-01,246.44,4.3,2.2,1.8,1.51,1.1878,1.2972,0.9626,110.09,2575.26
213,2017-10-01,246.63,4.2,2.36,1.98,1.68,1.1745,1.3268,0.9737,112.6,2647.58
214,2017-11-01,247.28,4.2,2.35,2.05,1.81,1.1618,1.3257,1.0014,114.04,2673.61
215,2017-12-01,247.8,4.1,2.4,2.18,1.96,1.191,1.3505,0.9762,111.88,2823.81
216,2018-01-01,248.86,4.0,2.58,2.38,2.15,1.205,1.3596,0.9718,112.18,2713.83
217,2018-02-01,249.53,4.1,2.86,2.6,2.36,1.2482,1.4247,0.9288,109.5,2640.87
218,2018-03-01,249.58,4.0,2.84,2.63,2.42,1.2216,1.3755,0.9461,106.91,2648.05
219,2018-04-01,250.23,4.0,2.87,2.7,2.52,1.2288,1.4032,0.9558,105.99,2705.27
220,2018-05-01,250.79,3.8,2.98,2.82,2.66,1.2,1.3611,0.9954,109.69,2718.37
221,2018-06-01,251.02,4.0,2.91,2.78,2.65,1.1679,1.3358,0.9867,109.49,2816.29
222,2018-07-01,251.21,3.8,2.89,2.78,2.7,1.1604,1.3133,0.9946,110.73,2901.52
223,2018-08-01,251.66,3.8,2.89,2.77,2.71,1.1666,1.312,0.9923,111.72,2913.98
224,2018-09-01,252.18,3.7,3.0,2.89,2.84,1.1566,1.2833,0.9753,111.44,2711.74
225,2018-10-01,252.77,3.8,3.15,3.0,2.94,1.1567,1.3032,0.984,113.96,2760.17
226,2018-11-01,252.59,3.8,3.12,2.95,2.91,1.1396,1.2974,1.0033,112.79,2506.85
227,2018-12-01,252.77,3.9,2.83,2.68,2.67,1.1356,1.2742,0.9975,113.54,2704.1
228,2019-01-01,252.56,4.0,2.71,2.54,2.52,1.1357,1.2598,0.9884,109.22,2784.49
229,2019-02-01,253.32,3.8,2.68,2.49,2.48,1.1474,1.3094,0.994,109.55,2834.4
230,2019-03-01,254.28,3.8,2.57,2.37,2.37,1.1376,1.3222,0.9987,111.89,2945.83
231,2019-04-01,255.23,3.7,2.53,2.33,2.31,1.121,1.3144,0.9988,111.29,2752.06
232,2019-05-01,255.3,3.6,2.4,2.19,2.16,1.1246,1.3091,1.0137,111.18,2941.76
